23/08/2014 11:47:17,,,,,,,,,,,,,,,Page,1,/,224
,,,,,,,,,Female Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Claire Addison                                    ,,,,,,21/07/1989,,Sheffield C,,,19314,,,,,,,
,Female 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,17/11/2007,,BUSA SC Champs 2007                               ,,,,,Sheffield                                       ,,,1,,00:47.11,,,
,Female 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,17/11/2007,,BUSA SC Champs 2007                               ,,,,,Sheffield                                       ,,,1,,00:41.50,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:47:17,,,,,,,,,,,,,,,Page,2,/,224
,,,,,,,,,Female Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Ella Ashforth                                     ,,,,,,22/01/1993,,Sheffield C,,,63470,,,,,,,
,Female 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:33.51,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:34.16,,,
,3,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:34.68,,,
,4,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:38.84,,,
,Female 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:16.07,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:16.50,,,
,3,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:16.68,,,
,Female 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:46.62,,,
,Female 50 Butterfly,,,,,,,,,,,,,,,,,
,1,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:40.00,,,
,Female 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:41.69,,,
,2,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:41.75,,,
,3,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:43.45,,,
,4,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:44.47,,,
,Female 100 Backstroke,,,,,,,,,,,,,,,,,
,1,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:28.54,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:29.62,,,
,3,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:30.47,,,
,Female 100 Individual Medley,,,,,,,,,,,,,,,,,
,1,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:29.15,,,
,2,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:30.40,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:47:17,,,,,,,,,,,,,,,Page,3,/,224
,,,,,,,,,Female Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Sarah Ashforth                                    ,,,,,,26/10/1990,,Sheffield C,,,38579,,,,,,,
,Female 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:31.62,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:31.69,,,
,3,,03/04/2004,,Yorkshire 50m Sprint Meet                         ,,,,,Sheffield                                       ,,,0,,00:32.46,,,
,4,,31/01/2004,,22nd Harrogate Open Meet                          ,,,,,Harrogate                                     ,,,0,,00:32.56,,,
,5,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:32.58,,,
,6,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:33.31,,,
,Female 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:09.10,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:09.48,,,
,3,,01/02/2004,,22nd Harrogate Open Meet                          ,,,,,Harrogate                                     ,,,0,,01:11.18,,,
,4,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,01:12.69,,,
,5,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:13.96,,,
,Female 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:46.91,,,
