23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,1,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Aryan Abadian                                     ,,,,,,30/06/1994,,Sheffield C,,,60224,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,00:29.56,,,
,2,,15/03/2008,,Yorkshire County Champs                           ,,,,,Leeds                                           ,,,2,,00:29.91,,,
,3,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:30.51,,,
,4,,24/03/2007,,Yorkshire County Champs                           ,,,,,Sheffield                                       ,,,2,,00:31.02,,,
,5,,21/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:31.18,,,
,6,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:31.58,,,
,7,,18/03/2006,,Yorkshire County Champs                           ,,,,,Sheffield                                       ,,,2,,00:33.46,,,
,8,,16/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,00:36.44,,,
,9,,20/03/2005,,Yorkshire County Champs 2005                     ,,,,,Sheffield                                       ,,,0,,00:38.14,,,
,10,,03/04/2004,,Yorkshire 50m Sprint Meet                         ,,,,,Sheffield                                       ,,,0,,00:39.69,,,
,Male 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,01:06.59,,,
,2,,14/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,01:07.70,,,
,3,,22/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:11.27,,,
,4,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:12.59,,,
,5,,15/10/2006,,Yorkshire Winter Comp                             ,,,,,Sheffield                                       ,,,1,,01:13.31,,,
,6,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:14.35,,,
,7,,15/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,01:16.00,,,
,8,,17/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,01:20.35,,,
,Male 200 Freestyle,,,,,,,,,,,,,,,,,
,1,,21/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,02:30.94,,,
,2,,16/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,02:48.49,,,
,Male 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:46.60,,,
,2,,17/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,00:53.81,,,
,3,,20/03/2005,,Yorkshire County Champs 2005                     ,,,,,Sheffield                                       ,,,0,,00:56.16,,,
,Male 100 Breaststroke,,,,,,,,,,,,,,,,,
,1,,16/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,01:43.31,,,
,2,,16/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,01:43.92,,,
,Male 50 Butterfly,,,,,,,,,,,,,,,,,
,1,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,00:30.73,,,
,2,,15/03/2008,,Yorkshire County Champs                           ,,,,,Leeds                                           ,,,2,,00:31.12,,,
,3,,15/03/2008,,Yorkshire County Champs                           ,,,,,Leeds                                           ,,,2,,00:31.17,,,
,4,,24/03/2007,,Yorkshire County Champs                           ,,,,,Sheffield                                       ,,,2,,00:32.41,,,
,5,,22/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:32.58,,,
,6,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,00:32.95,,,
,7,,24/03/2007,,Yorkshire County Champs                           ,,,,,Sheffield                                       ,,,2,,00:33.03,,,
,8,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:35.42,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,2,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Aryan Abadian                                     ,,,,,,30/06/1994,,Sheffield C,,,60224,,,,,,,
,Male 50 Butterfly,,,,,,,,,,,,,,,,,
,9,,18/03/2006,,Yorkshire County Champs                           ,,,,,Sheffield                                       ,,,2,,00:36.86,,,
,10,,17/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,00:42.55,,,
,11,,19/03/2005,,Yorkshire County Champs 2005                     ,,,,,Sheffield                                       ,,,0,,00:46.79,,,
,Male 100 Butterfly,,,,,,,,,,,,,,,,,
,1,,11/10/2008,,Yorkshire Winter Champs                           ,,,,,Sheffield                                       ,,,1,,01:07.37,,,
,2,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,01:07.75,,,
,3,,11/10/2008,,Yorkshire Winter Champs                           ,,,,,Sheffield                                       ,,,1,,01:07.81,,,
,4,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,01:08.03,,,
,5,,30/11/2008,,North East Region Champs                          ,,,,,Sunderland                                  ,,,1,,01:08.77,,,
,6,,13/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,01:10.98,,,
,7,,13/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,01:11.83,,,
,8,,25/11/2007,,North East Region BAGCATS                         ,,,,,Harrogate                                     ,,,1,,01:11.95,,,
,9,,21/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:12.87,,,
,10,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:13.56,,,
,11,,26/11/2006,,North East Region Champs                          ,,,,,Harrogate                                     ,,,2,,01:14.64,,,
,12,,15/10/2006,,Yorkshire Winter Comp                             ,,,,,Sheffield                                       ,,,1,,01:15.38,,,
,13,,15/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,01:22.70,,,
,14,,15/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,01:27.05,,,
,Male 200 Butterfly,,,,,,,,,,,,,,,,,
,1,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,02:36.48,,,
,2,,22/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,02:46.26,,,
,Male 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:39.88,,,
,2,,19/03/2005,,Yorkshire County Champs 2005                     ,,,,,Sheffield                                       ,,,0,,00:44.60,,,
,3,,16/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,00:46.39,,,
,4,,03/04/2004,,Yorkshire 50m Sprint Meet                         ,,,,,Sheffield                                       ,,,0,,00:46.83,,,
,Male 100 Backstroke,,,,,,,,,,,,,,,,,
,1,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:22.86,,,
,2,,15/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,01:25.88,,,
,Male 100 Individual Medley,,,,,,,,,,,,,,,,,
,1,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:20.44,,,
,2,,16/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,01:37.23,,,
,Male 200 Individual Medley,,,,,,,,,,,,,,,,,
,1,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,02:47.44,,,
,2,,14/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,02:47.63,,,
,3,,22/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,02:49.83,,,
,4,,14/10/2006,,Yorkshire Winter Comp                             ,,,,,Sheffield                                       ,,,1,,02:53.93,,,
,5,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,02:58.08,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,3,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Aryan Abadian                                     ,,,,,,30/06/1994,,Sheffield C,,,60224,,,,,,,
,Male 200 Individual Medley,,,,,,,,,,,,,,,,,
,6,,16/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,03:02.73,,,
,Male 400 Individual Medley,,,,,,,,,,,,,,,,,
,1,,14/04/2006,,Weston-S-Mare Easter Open                         ,,,,,Weston-Super-Mare                    ,,,2,,06:22.18,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,4,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
James Barley                                      ,,,,,,14/11/1991,,Sheffield C,,,284554,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,00:28.55,,,
,Male 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,01:04.70,,,
,Male 50 Butterfly,,,,,,,,,,,,,,,,,
,1,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,00:34.22,,,
,Male 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,00:32.36,,,
,Male 100 Backstroke,,,,,,,,,,,,,,,,,
,1,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,01:09.02,,,
,Male 200 Backstroke,,,,,,,,,,,,,,,,,
,1,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,02:27.69,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,5,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Stephen Barry                                     ,,,,,,26/08/1989,,Sheffield C,,,63461,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,16/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,00:31.70,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:32.45,,,
,3,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:32.66,,,
,4,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:33.18,,,
,Male 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:11.62,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:12.99,,,
,Male 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,17/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,00:35.72,,,
,2,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:37.50,,,
,3,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:38.21,,,
,4,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:38.66,,,
,5,,03/04/2004,,Yorkshire 50m Sprint Meet                         ,,,,,Sheffield                                       ,,,0,,00:38.74,,,
,Male 100 Breaststroke,,,,,,,,,,,,,,,,,
,1,,16/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,01:22.54,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:24.60,,,
,3,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:24.86,,,
,4,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,01:26.04,,,
,Male 200 Breaststroke,,,,,,,,,,,,,,,,,
,1,,17/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,02:58.32,,,
